RIO DE JANEIRO- RJ
"-22.90277778,-43.2075,A SORTE CHAMA,7074,R CONDE DE BONFIM,20520053,RIO DE JANEIRO,3253-0015,undefined,21"
",-22.94658333,-43.36108333,FIS MY LUCK LOT.- LTDA,2281,R SALINOPOLIS,22720000,RIO DE JANEIRO,2487-9191,undefined,21"
",-22.98397222,-43.20269444,FIVE LOTERIA ESPORTIVA LTDA,17901,Rua Vinicius de Moraes,22411010,RIO DE JANEIRO,2522-0250,undefined,21"
",-22.90936111,-43.17733333,FLORIDA LOTERIA,347,AV 13 DE MAIO,20031000,RIO DE JANEIRO,2240-8265,undefined,21"
",-22.86827778,-43.35455556,FONTE DA FORTUNA,13607,Estrada Henrique de Melo,21340190,RIO DE JANEIRO,2450-1169,undefined,21"
",-22.90277778,-43.2075,FREEJACK LOTS LTDA,477,AV NSA SRA DE COPACABANA,22020002,RIO DE JANEIRO,3217-5733,undefined,21"
",-22.93988889,-43.34330556,FREGUESIA LOTS,2343,EST 3 RIOS,22755002,RIO DE JANEIRO,2425-2757,undefined,21"
",-22.92519444,-43.23463889,GALERIA DA SORTE,382,RUA CONDE DE BONFIM,20520054,RIO DE JANEIRO,2135-7767,undefined,21"
",-22.84080556,-43.36683333,GAUDALUPE LOTERIAS,13685,AV BRASIL,21670000,RIO DE JANEIRO,3681-8759,undefined,21"
",0,0,GAVEA LOTERICA LTDA,1370,RUA JARDIM BOTANICO,22461010,RIO DE JANEIRO,2530-0520,undefined,21"
",-22.87844444,-43.21577778,GERALDO C PINTO LOTERIAS LTDA,18438,RUA GENERAL SAMPAIO,20931350,RIO DE JANEIRO,3895-3820,undefined,21"
",-22.94127778,-43.34186111,GIBA ESP E LOTS LTDA,2233,EST DE JACAREPAGUA,22753040,RIO DE JANEIRO,2447-8112,undefined,21"
",-22.90416667,-43.17777778,GIGANTE DA SORTE,5626,AV.RIO BRANCO,20040006,RIO DE JANEIRO,2509-6617,undefined,21"
",-22.92330556,-43.25625,GIUSEPPE LOTERIA,406,RUA BARAO DE MESQUITA,20540004,RIO DE JANEIRO,2238-0283,undefined,21"
",-22.88527778,-43.25641667,GRANDE FUTURO,2372,RUA COMTE GRACINDO DE SA,20970005,RIO DE JANEIRO,8811-3065,undefined,21"
",-22.91749444,-43.2235,GRANSORT LOTERIA LTDA,7200,RUA MARIZ E BARROS,20270002,RIO DE JANEIRO,2204-0316,undefined,21"
",-22.91944444,-43.25027778,GRAPHCENTER LOT.,491,RUA BARAO DE SAO FRANCISCO,20560904,RIO DE JANEIRO,2577-1478,undefined,21"
",-22.92241667,-43.24880556,GUANABARA DA SORTE,2335,RUA MAXWELL,20541100,RIO DE JANEIRO,7813-4217,undefined,21"
",-22.07111111,-43.28583333,GUI-GUI LOT.ESPORTIVA,6717,RUA DIAS DA CRUZ,20720010,RIO DE JANEIRO,3685-6361,undefined,21"
",-22.84361111,-43.31055556,HANICY LOTERIAS LTDA,6806,PRACA RUBEY WANDERLEY,21220730,RIO DE JANEIRO,3285-6471,undefined,21"
",-22.96944444,-43.18444444,HENHIQUE W.KEIDEL,481,AV.N.SRA.COPACABANA,22020002,RIO DE JANEIRO,2256-8966,undefined,21"
",-22.87222222,-43.25861111,HIGIENOPOLIS LOT.LTD,2314,RUA DARKE DE MATOS,21051470,RIO DE JANEIRO,3888-9518,undefined,21"
",-22.92108333,-43.24577778,HOUSE DA SORTE,13516,RUA MAXWELL,20541100,RIO DE JANEIRO,3172-6147,undefined,21"
",-22.92558333,-43.55941667,IARAQUA LOTERIA,24436,ESTRADA IARAQUA,23047160,RIO DE JANEIRO,3377-5845,undefined,21"
",-22.93222222,-43.175,IDEAL LOTERIAS LTDA,395,R VOLUNTARIOS DA PATRIA,22270000,RIO DE JANEIRO,2527-0494,undefined,21"
",-22.81119444,-43.19158333,ILHA DA SORTE,7072,RUA SARGENTO JOAO LOPES,21931420,RIO DE JANEIRO,3363-5658,undefined,21"
",-22.81691667,-43.30088889,INSTANTANEA DA SORTE,2205,RUA  BULHOES MARCIAL,21250372,RIO DE JANEIRO,2481-3144,undefined,21"
",-22.81,-43.3525,IRMAOS GONCALVES LOTERIAS,2334,AV PASTOR MARTIN LUTHER KING,21520002,RIO DE JANEIRO,3835-9959,undefined,21"
",-22.90277778,-43.2075,ITALRIO LOTERIAS LTD,3101,R VISCONDE DE PIRAJA,22410003,RIO DE JANEIRO,2239-0947,undefined,21"
",-22.90277778,-43.2075,ITU BOUT. E ARTES,2211,Rua Senador Vergueiro,22230000,RIO DE JANEIRO,2551-8997,undefined,21"
",-22.88138889,-43.32833333,IZIS BAZAR E LOTERIAS,2239,Rua Nerval de Gouveia,21311110,RIO DE JANEIRO,2229-5982,undefined,21"
",-22.84658333,-43.26505556,J J LOTS,2270,RUA ANGELICA MOTA,21021490,RIO DE JANEIRO,2590-4073,undefined,21"
",undefined,JC LOTERIAS,24887,EST DOS TRES RIOS,22745004,RIO DE JANEIRO,7893-4280,undefined,21"
",-22.84,-43.29925,JOGADA DA SORTE,2257,AV VICENTE DE CARVALHO,21210153,RIO DE JANEIRO,3252-1484,undefined,21"
",-22.91144444,-43.37238889,JORNAIS & ETC,18461,AV BRASIL,21670000,RIO DE JANEIRO,3015-5481,undefined,21"
",-22.89183333,-43.28288889,JOSE BONIFACIO,2194,R JOSE BONIFACIO,20770240,RIO DE JANEIRO,3738-0977,undefined,21"
",-22.90277778,-43.2075,JOSE COSTA,357,R MIGUEL COUTO,20070030,RIO DE JANEIRO,2221-0547,undefined,21"
",-22.83222222,-43.29191667,JOSEMAR LOTS LTDA,409,RUA  GUAPORE,21215100,RIO DE JANEIRO,3341-1125,undefined,21"
",-22.85686111,-43.49180556,JULIMAR LOTERIAS LTDA,14686,AV. ETIOPIA,21852010,RIO DE JANEIRO,3467-1736,undefined,21"
",-22.91263889,-43.20269444,JULIO GOMES,397,Rua Neri Pinheiro,20210020,RIO DE JANEIRO,7812-9023,undefined,21"
",-22.80416667,-43.20655556,JUSSIARA LOTERIA,394,ESTRADA DO GALEAO,21931003,RIO DE JANEIRO,3393-8921,undefined,21"
",-22.91472222,-43.2125,KAMALEAO DA SORTE,5610,RUA DO MATOSO,20270132,RIO DE JANEIRO,3549-5365,undefined,21"
",-22.84855556,-43.46536111,KES SORTE LOTERIAS LTDA,14147,RUA ROQUE BARBOSA,21863420,RIO DE JANEIRO,2403-3992,undefined,0000"
",-22.90277778,-43.2075,KI - SORTE LOTERIAS,461,AV. PASTEUR,22290240,RIO DE JANEIRO,2541-6051,undefined,21"
",-22.84991667,-43.27180556,KOISA BOA LOTERICA L,2220,RUA DELFIM CARLOS,21073050,RIO DE JANEIRO,3977-0000,undefined,21"
",-22.90277778,-43.2075,L. L. LOTERIA E PAPELARIA,14017,Rua Marechal Cantuaria,undefined,22291060,RIO DE JANEIRO,2543-2752,undefined,21"
",-22.90277778,-43.2075,LA LA LOT LTDA,4511,R.BENTO LISBOA,22221010,RIO DE JANEIRO,2225-4302,undefined,0000"
",-22.83936111,-43.27816667,LANCE MAIOR LOTERICO LTDA ME,12425,RUA MONTEVIDEU,21020290,RIO DE JANEIRO,2270-1336,undefined,21"
",-22.93986111,-43.34325,LEKA,10504,BANDEIRANTE 8591 L1015,22783115,RIO DE JANEIRO,2442-2037,undefined,21"
",-22.90133333,-43.16913889,LISBOA LOTERIAS LTDA,2448,AV MARECHAL FLORIANO,20080003,RIO DE JANEIRO,2518-1018,undefined,21"
",-22.91383333,-43.56286111,LOT ALVES PEREIRA LTDA,2198,RUA AUGUSTO DE VASCONCELOS,23045120,RIO DE JANEIRO,3377-5794,undefined,21"
",-22.88063889,-43.32561111,LOT CASCADURA SRA FA,2244,RUA SIDONIO PAES,21350032,RIO DE JANEIRO,3439-0494,undefined,21"
",-22.31811111,-43.28563889,LOT CENTRO DA SORTE,2522,R GONCALVES DIAS,20050030,RIO DE JANEIRO,2224-5330,undefined,21"
